DOC_ID,REPOSITORY,BOOK_SOURCE,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0377,"Public Record Office, London",,"1. PRO, Admiralty 51/1039.",doc,/TaggedPDF-doc/div/doc[377]/src
NDAR_V02_0378,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 94-95, BM.",doc,/TaggedPDF-doc/div/doc[378]/src
NDAR_V02_0379,"Rhode Island Historical Society, Providence",,1. RIHS.,doc,/TaggedPDF-doc/div/doc[379]/src
NDAR_V02_0380,"Library of Congress, Washington",,"1. John Hancock Papers, III, 80, 81, LC.",doc,/TaggedPDF-doc/div/doc[380]/src
NDAR_V02_0381,,,"1. New York Provincial Congress, I, 157.",doc,/TaggedPDF-doc/div/doc[381]/src
NDAR_V02_0382,"Library of Congress, Washington",,1. LC.,doc,/TaggedPDF-doc/div/doc[382]/src
NDAR_V02_0383,,,"1. Butterfield, ed., Diary and Autobiography of John Adams, II, 187.",doc,/TaggedPDF-doc/div/doc[383]/src
NDAR_V02_0385,"Public Record Office, London",,"1. PRO, Admiralty 51/968.",doc,/TaggedPDF-doc/div/doc[385]/src
NDAR_V02_0387,"Maine Historical Society, Portland",,"1. Arnold Letter Book, MeHS.",doc,/TaggedPDF-doc/div/doc[387]/src
NDAR_V02_0388,"Library of Congress, Washington",,"1. John Hancock Papers, III, 314, LC.",doc,/TaggedPDF-doc/div/doc[388]/src
NDAR_V02_0389,"Massachusetts Archives, Boston",,"1. Journal of the House of Representatives, Mass. Arch.",doc,/TaggedPDF-doc/div/doc[389]/src
NDAR_V02_0390,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 136, BM.",doc,/TaggedPDF-doc/div/doc[390]/src
NDAR_V02_0391,"Maine Historical Society, Portland",,"1. Falmouth Collection, MeHS.",doc,/TaggedPDF-doc/div/doc[391]/src
NDAR_V02_0392,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[392]/src
NDAR_V02_0393,"Connecticut State Library, Hartford",,"1. Conn. Arch., 1st series, III, 496b, ConnSL.",doc,/TaggedPDF-doc/div/doc[393]/src
NDAR_V02_0394,,,"1. New York Provincial Congress, I, 159, 160.",doc,/TaggedPDF-doc/div/doc[394]/src
NDAR_V02_0395,,"Worthington C. Ford, et al., eds., Journals of the Continental Congress (Washington, 1904-1937).","1. Ford, ed., JCC, III, 264, 265.",doc,/TaggedPDF-doc/div/doc[395]/src
NDAR_V02_0396,"Pennsylvania Archives, Harrisburg",,"1. Committee of Safety, Navy Papers, Pa. Arch.",doc,/TaggedPDF-doc/div/doc[396]/src
NDAR_V02_0397,,,"1. Pennsylvania Colonial Records, X, 347-351.",doc,/TaggedPDF-doc/div/doc[397]/src
NDAR_V02_0399,"Public Record Office, London",,"1. PRO, Admiralty 51/506.",doc,/TaggedPDF-doc/div/doc[399]/src
NDAR_V02_0400,"Public Record Office, London",,"1. PRO, Admiralty 51/968.",doc,/TaggedPDF-doc/div/doc[400]/src
NDAR_V02_0402,,,"1. South Carolina Historical and Genealogical Magazine, II, 25-26.",doc,/TaggedPDF-doc/div/doc[402]/src
NDAR_V02_0404,"National Archives, Washington",,"1. Intercepted letters, Papers CC, 51, I, 123-139, NA. This letter was forwarded to Congress in George Washington's letter of December 18, 1775. It was found, along with other letters and papers, on board the prize brig Betsey, sent into Beverly by John Manley.",doc,/TaggedPDF-doc/div/doc[404]/src
NDAR_V02_0405,"Colonial Williamsburg, Williamsburg",,"1. Tucker-Coleman Papers, CW.",doc,/TaggedPDF-doc/div/doc[405]/src
NDAR_V02_0406,,,"1. Harold A. Innis, ed., The Diary of Simeon Perkins, 1766-1780 (Toronto, 1948), p. 101.",doc,/TaggedPDF-doc/div/doc[406]/src
NDAR_V02_0407,"Library of Congress, Washington",,"1. John Hancock Papers, III, 314, 315, LC.",doc,/TaggedPDF-doc/div/doc[407]/src
NDAR_V02_0408,"National Archives, Washington",,"1. Papers CC (Letters of George Washington), 152, I, 175-176, NA.",doc,/TaggedPDF-doc/div/doc[408]/src
NDAR_V02_0409,"Massachusetts Historical Society, Boston",,"1. Adams Papers, MassHS.",doc,/TaggedPDF-doc/div/doc[409]/src
NDAR_V02_0410,,,"1. Captain J. G. M. Stone Private Collection, Annapolis. Bartlett was a New Hampshire delegate in the Continental Congress.",doc,/TaggedPDF-doc/div/doc[410]/src
NDAR_V02_0411,"Massachusetts Archives, Boston",,"1. Journal of the House of Representatives, Mass. Arch. The last order in the journal is also found in Mass. Arch., vol. 206, 384.",doc,/TaggedPDF-doc/div/doc[411]/src
NDAR_V02_0412,"William L. Clements Library, University of Michigan, Ann Arbor",,"1. Gage Papers, CL.",doc,/TaggedPDF-doc/div/doc[412]/src
NDAR_V02_0413,"William L. Clements Library, University of Michigan, Ann Arbor",,"1. Gage Papers, CL.",doc,/TaggedPDF-doc/div/doc[413]/src
NDAR_V02_0414,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 136, BM.",doc,/TaggedPDF-doc/div/doc[414]/src
NDAR_V02_0415,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 95-96, BM.",doc,/TaggedPDF-doc/div/doc[415]/src
NDAR_V02_0416,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 136-137, BM.",doc,/TaggedPDF-doc/div/doc[416]/src
NDAR_V02_0417,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 96, BM.",doc,/TaggedPDF-doc/div/doc[417]/src
NDAR_V02_0418,"Rhode Island Archives, Providence",,1. R.I. Arch.,doc,/TaggedPDF-doc/div/doc[418]/src
NDAR_V02_0419,"Connecticut State Library, Hartford",,"1. Conn. Arch., 1st series, III, 496b, ConnSL.",doc,/TaggedPDF-doc/div/doc[419]/src
NDAR_V02_0420,,,"1. New York Provincial Congress, I, 160-161.",doc,/TaggedPDF-doc/div/doc[420]/src
NDAR_V02_0421,,"Worthington C. Ford, et al., eds., Journals of the Continental Congress (Washington, 1904-1937).","1. Ford, ed., JCC, III, 266, 267.",doc,/TaggedPDF-doc/div/doc[421]/src
NDAR_V02_0422,"Library of Congress, Washington",,"1. Diary of Richard Smith, LC.",doc,/TaggedPDF-doc/div/doc[422]/src
NDAR_V02_0423,,,"1. Pennsylvania Colonial Records, X, 351, 352.",doc,/TaggedPDF-doc/div/doc[423]/src
NDAR_V02_0424,"Historical Society of Pennsylvania, Philadelphia",,"1. Christopher Marshall's Letter Book, HSP.",doc,/TaggedPDF-doc/div/doc[424]/src
NDAR_V02_0425,"Public Record Office, London",,"1. PRO, Colonial Office, 5/1353.",doc,/TaggedPDF-doc/div/doc[425]/src
NDAR_V02_0426,"Public Record Office, London",,"1. PRO, Colonial Office, 5/1353.",doc,/TaggedPDF-doc/div/doc[426]/src
NDAR_V02_0427,,,"1. Drayton, American Revolution, II, 93, 94. Also printed in South Carolina Gazette, October 3, 1775.",doc,/TaggedPDF-doc/div/doc[427]/src
NDAR_V02_0428,,,"1. South Carolina Gazette, October 3, 1775.",doc,/TaggedPDF-doc/div/doc[428]/src
NDAR_V02_0429,,,"1. South Carolina Historical and Genealogical Magazine, IX, 181, 182.",doc,/TaggedPDF-doc/div/doc[429]/src
NDAR_V02_0430,"Public Record Office, London",,"1. PRO, Colonial Office, 5/122, 53c. William Young was Royal Governor of Grenada.",doc,/TaggedPDF-doc/div/doc[430]/src
NDAR_V02_0431,,,"1. Pennsylvania Journal, October 11, 1775.",doc,/TaggedPDF-doc/div/doc[431]/src
NDAR_V02_0432,,"Warren-Adams Letters, Being Chiefly a Correspondence Among John Adams, Samuel Adams, and James Warren, 1743-1814 (Boston, 1917-25). ","1. Warren-Adams Letters, I, 121-123.",doc,/TaggedPDF-doc/div/doc[432]/src
NDAR_V02_0433,"National Archives, Washington",,"1. Revolutionary War Prize Cases, ""No. 2, The Elizabeth and Cargo, Wentworth, Appellant,"" Record cf the Court of Appeals in Cases of Capture, 1776-1787, No. 47, NA.",doc,/TaggedPDF-doc/div/doc[433]/src
NDAR_V02_0434,"Public Record Office, London",,"1. PRO, Colonial Office, 5/92.",doc,/TaggedPDF-doc/div/doc[434]/src
NDAR_V02_0435,"Public Record Office, London",,"1. PRO, Admiralty 1/485.",doc,/TaggedPDF-doc/div/doc[435]/src
NDAR_V02_0436,"Public Record Office, London",,"1. PRO, Admiralty 1/485.",doc,/TaggedPDF-doc/div/doc[436]/src
NDAR_V02_0437,"Public Record Office, London",,"1. PRO, Admiralty 51/960.",doc,/TaggedPDF-doc/div/doc[437]/src
NDAR_V02_0438,"Public Record Office, London",,"1. PRO, Admiralty 51/804.",doc,/TaggedPDF-doc/div/doc[438]/src
NDAR_V02_0439,"Maryland Historical Society, Baltimore",,"1. Eden Transcripts, MdHS.",doc,/TaggedPDF-doc/div/doc[439]/src
NDAR_V02_0440,"Library of Congress, Washington",,"1. US Revolution, LC.",doc,/TaggedPDF-doc/div/doc[440]/src
NDAR_V02_0441,,,"1. Dixon and Hunter's Virginia Gazette, October 7, 1775.",doc,/TaggedPDF-doc/div/doc[441]/src
NDAR_V02_0442,"Library of Congress, Washington",,"1. Washington Papers, LC. Copy in John Hancock Papers, LC.",doc,/TaggedPDF-doc/div/doc[442]/src
NDAR_V02_0443,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[443]/src
NDAR_V02_0444,"New York Public Library, New York",,"1. Emmett Autograph Collection, NYPL, where the draft is not identified as to recipient. Collins left Watertown, on September 4, having spent much time there in the company of Warren. He had been particularly recommended to Warren by John Adams.",doc,/TaggedPDF-doc/div/doc[444]/src
NDAR_V02_0445,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 164, 119a.",doc,/TaggedPDF-doc/div/doc[445]/src
NDAR_V02_0446,"Massachusetts Archives, Boston",,"1. Journal of the House of Representatives, Mass. Arch.",doc,/TaggedPDF-doc/div/doc[446]/src
NDAR_V02_0448,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Gage Papers, CL; an undated copy in Graves's Conduct, Appendix, 95, BM.",doc,/TaggedPDF-doc/div/doc[448]/src
NDAR_V02_0450,"Connecticut State Library, Hartford",,"1. Conn. Arch., 1st Series, IX, 497, ConnSL.",doc,/TaggedPDF-doc/div/doc[450]/src
NDAR_V02_0451,"Connecticut State Library, Hartford",,"1. Conn. Arch., 1st Series, IX, 496b, ConnSL.",doc,/TaggedPDF-doc/div/doc[451]/src
NDAR_V02_0452,,,"1. New York Provincial Congress, I, 161.",doc,/TaggedPDF-doc/div/doc[452]/src
NDAR_V02_0453,,,"1. New York Provincial Congress, II, 102-103.",doc,/TaggedPDF-doc/div/doc[453]/src
NDAR_V02_0454,,,"1. Pennsylvania Colonial Records, X, 352, 353.",doc,/TaggedPDF-doc/div/doc[454]/src
NDAR_V02_0455,"Library of Congress, Washington",,"1. Woolsey & Salmon Letter Book, LC. George Salmon, a member of the firm in Ireland, was ""druming up"" business.",doc,/TaggedPDF-doc/div/doc[455]/src
NDAR_V02_0457,,"Peter Force, comp., American Archives, Fourth Series (Washington, 1837-1853).","1. Force, comp., American Archives, 4th, III, 935.",doc,/TaggedPDF-doc/div/doc[457]/src
NDAR_V02_0458,"Public Record Office, London",,"1. PRO, Colonial Office, 5/1353.",doc,/TaggedPDF-doc/div/doc[458]/src
NDAR_V02_0459,,"Wachovia Archives, Winston-Salem, N.C.; printed in Adelaide L. Fries, ed., Records of the Moravians in North Carolina, (Raleigh, 1925).","1. Fries, ed., Moravians in North Carolina, II, 888.",doc,/TaggedPDF-doc/div/doc[459]/src
NDAR_V02_0460,"Library of Congress, Washington",,"1. PRO, Colonial Office, 5/634, LC Photocopy.",doc,/TaggedPDF-doc/div/doc[460]/src
NDAR_V02_0461,"Library of Congress, Washington",,"1. PRO, Colonial Office, 5/634, LC Photocopy.",doc,/TaggedPDF-doc/div/doc[461]/src
NDAR_V02_0462,,,"1. Captain J. G. M. Stone Private Collection, Annapolis.",doc,/TaggedPDF-doc/div/doc[462]/src
NDAR_V02_0463,,,1. The Dolphin.,doc,/TaggedPDF-doc/div/doc[463]/src
NDAR_V02_0464,"Yale University Library, New Haven",,"1. Trumbull Papers, YUL.",doc,/TaggedPDF-doc/div/doc[464]/src
NDAR_V02_0465,"Massachusetts Archives, Boston",,"1. Journal of the House of Representatives, Mass. Arch.",doc,/TaggedPDF-doc/div/doc[465]/src
NDAR_V02_0466,"William L. Clements Library, University of Michigan, Ann Arbor",,"1. Gage Papers, CL.",doc,/TaggedPDF-doc/div/doc[466]/src
NDAR_V02_0467,,,"1. ""Newell's Journal,"" Collections of the Massachusetts Historical Society, 4th series, I,. 268.",doc,/TaggedPDF-doc/div/doc[467]/src
NDAR_V02_0468,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 137-140, BM.",doc,/TaggedPDF-doc/div/doc[468]/src
NDAR_V02_0469,"Connecticut Historical Society, Hartford",,"1. Huntington Papers, ConnHS.",doc,/TaggedPDF-doc/div/doc[469]/src
NDAR_V02_0470,,,"1. Amelia Forbes Emerson, Early History of Naushon Island (1935), 265-266.",doc,/TaggedPDF-doc/div/doc[470]/src
NDAR_V02_0471,"Rhode Island Historical Society, Providence",,"1. Rhode Island Historical Society Manuscripts, RIHS.",doc,/TaggedPDF-doc/div/doc[471]/src
NDAR_V02_0472,,,"1. Franklin Bowditch Dexter, ed., The Literary Diary of Ezra Stiles, D.D., LL.D. (New York, 1901), I, 620. Hereafter cited as Dexter, ed., Diary of Ezra Stiles.",doc,/TaggedPDF-doc/div/doc[472]/src
NDAR_V02_0473,,,"1. New York Provincial Congress, I, 161-162.",doc,/TaggedPDF-doc/div/doc[473]/src
NDAR_V02_0474,,"Worthington C. Ford, et al., eds., Journals of the Continental Congress (Washington, 1904-1937).","1. Ford, ed., JCC, III, 274, 275.",doc,/TaggedPDF-doc/div/doc[474]/src
NDAR_V02_0479,,"John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1921-1940). ","1. Fitzpatrick, ed., Writings of Washington, IV, 4-6.",doc,/TaggedPDF-doc/div/doc[479]/src
NDAR_V02_0480,"Library of Congress, Washington",,"1. Washington Papers, LC. The Salem committee had charge of the schooner Industry, which, while brought into Marblehead, had been taken around to Salem harbor. The Gloucester committee was in charge of the brig Dolphin.",doc,/TaggedPDF-doc/div/doc[480]/src
NDAR_V02_0481,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[481]/src
NDAR_V02_0482,,"John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1921-1940). ","1. Fitzpatrick, ed., Writings of Washington, IV, 6-7. Moylan was Muster Master General.",doc,/TaggedPDF-doc/div/doc[482]/src
NDAR_V02_0483,"Massachusetts Archives, Boston",,"1. Journal of the House of Representatives, Mass. Arch.",doc,/TaggedPDF-doc/div/doc[483]/src
NDAR_V02_0484,,,"1. Mass Arch. vol. 180, 165a, 165b.",doc,/TaggedPDF-doc/div/doc[484]/src
NDAR_V02_0485,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 164, 122.",doc,/TaggedPDF-doc/div/doc[485]/src
NDAR_V02_0486,"Public Record Office, London",,"1. PRO, Admiralty 51/771.",doc,/TaggedPDF-doc/div/doc[486]/src
NDAR_V02_0487,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 140-141, BM.",doc,/TaggedPDF-doc/div/doc[487]/src
NDAR_V02_0488,,,"1. William H. Browne, ed., Archives of Maryland (Baltimore, 1892), XI, 93-94. Hereafter cited as Browne, ed., Arch. of Md.",doc,/TaggedPDF-doc/div/doc[488]/src
NDAR_V02_0489,"Rhode Island Historical Society, Providence",,"1. Miscellaneous Collection, RIHS.",doc,/TaggedPDF-doc/div/doc[489]/src
NDAR_V02_0490,"Rhode Island Historical Society, Providence",,"1. Rhode Island Mss., vol. XII, 121, RIHS.",doc,/TaggedPDF-doc/div/doc[490]/src
NDAR_V02_0491,,,"1. New York Provincial Congress, I, 165-166.",doc,/TaggedPDF-doc/div/doc[491]/src
NDAR_V02_0492,"American Philosophical Society, Philadelphia",,"1. Stephen Girard Papers, Letters Received, 1769-1782, APS. Obtained through the courtesy of Mr. Harry G. Schad, Philadelphia.",doc,/TaggedPDF-doc/div/doc[492]/src
NDAR_V02_0493,,,1. The Cherokee.,doc,/TaggedPDF-doc/div/doc[493]/src
NDAR_V02_0494,,"Worthington C. Ford, et al., eds., Journals of the Continental Congress (Washington, 1904-1937).","1. Ford, ed., JCC, III, 276.",doc,/TaggedPDF-doc/div/doc[494]/src
NDAR_V02_0495,,,"1. Pennsylvania Colonial Records, X, 354, 355.",doc,/TaggedPDF-doc/div/doc[495]/src
NDAR_V02_0496,"Public Record Office, London",,"1. PRO, Admiralty 51/466.",doc,/TaggedPDF-doc/div/doc[496]/src
NDAR_V02_0497,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 292, 692.",doc,/TaggedPDF-doc/div/doc[497]/src
NDAR_V02_0498,,"John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1921-1940). ","1. Fitzpatrick, ed., Writings of Washington, IV, 15, 16.",doc,/TaggedPDF-doc/div/doc[498]/src
NDAR_V02_0499,"Library of Congress, Washington","John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1921-1940). ","1. John Hancock Papers, II, LC. Printed in Fitzpatrick, ed., Writings of Washington, IV; 9-13. The letter was read in Congress on October 23, and endorsed, ""That part of this letter which relates to the capture of a vessel in N. Hampshire referred to the committee appointed to bring in regulations for navy.""",doc,/TaggedPDF-doc/div/doc[499]/src
NDAR_V02_0500,,"John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1921-1940). ","1. Fitzpatrick, ed., Writings of Washington, IV, 16, 17.",doc,/TaggedPDF-doc/div/doc[500]/src
NDAR_V02_0501,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[501]/src
NDAR_V02_0503,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 180, 187.",doc,/TaggedPDF-doc/div/doc[503]/src
NDAR_V02_0504,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 180, 182.",doc,/TaggedPDF-doc/div/doc[504]/src
NDAR_V02_0505,"Massachusetts Archives, Boston",,"1. Journal of the House of Representatives, Mass. Arch.",doc,/TaggedPDF-doc/div/doc[505]/src
NDAR_V02_0506,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 180, 179, 179a.",doc,/TaggedPDF-doc/div/doc[506]/src
NDAR_V02507,"British Museum, London",,"1. Grave's Conduct, I, 140, BM.",doc,/TaggedPDF-doc/div/doc[507]/src
NDAR_V02_0508,"Rhode Island Historical Society, Providence",,"1. Rhode Island Historical Society Manuscripts, RIHS.",doc,/TaggedPDF-doc/div/doc[508]/src
NDAR_V02_0509,"National Archives, Washington",,"1. Papers CC (Letters of Major General Philip Schuyler), 153, I, 191-193, NA.",doc,/TaggedPDF-doc/div/doc[509]/src
NDAR_V02_0510,,"Worthington C. Ford, et al., eds., Journals of the Continental Congress (Washington, 1904-1937).","1. Ford, ed., JCC, III, 278-279.",doc,/TaggedPDF-doc/div/doc[510]/src
NDAR_V02_0511,,,"1. Butterfield, ed., Diary and Autobiography of John Adams, II, 192-194.",doc,/TaggedPDF-doc/div/doc[511]/src
NDAR_V02_0512,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[512]/src
NDAR_V02_0513,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[513]/src
NDAR_V02_0514,"American Antiquarian Society, Worcester","""Revolutionary Correspondence of Governor Nicholas Cooke,"" Proceedings of the American Antiquarian Society, New Series, XXXVI.","1. ""Nicholas Cooke Correspondence,"" AAS Proceedings, New Series, XXXVI, 277-278.",doc,/TaggedPDF-doc/div/doc[514]/src
NDAR_V02_0515,,,"1. ""Diary of Governor Samuel Ward Delegate from Rhode Island in Continental Congress, 1774-1776,"" The Magazine of American History (New York and Chicago, 1877), I, Part II, 551.",doc,/TaggedPDF-doc/div/doc[515]/src
NDAR_V02_0516,"American Antiquarian Society, Worcester","""Revolutionary Correspondence of Governor Nicholas Cooke,"" Proceedings of the American Antiquarian Society, New Series, XXXVI.","1. ""Nicholas Cooke Correspondence,"" AAS Proceedings, New Series, XXXVI, 278-280.",doc,/TaggedPDF-doc/div/doc[516]/src
NDAR_V02_0517,,,"1. Lord George Germain, accused of cowardice at the battle of Minden in 1759.",doc,/TaggedPDF-doc/div/doc[517]/src
NDAR_V02_0518,"Public Record Office, London",,"1. PRO, Colonial Office, 5/1353.",doc,/TaggedPDF-doc/div/doc[518]/src
NDAR_V02_0519,"North Carolina Department of Archives and History, Raleigh",,"1. Secretary of State Papers (Committee of Safety 1774-1776), NCDAH.",doc,/TaggedPDF-doc/div/doc[519]/src
NDAR_V02_0520,"Public Record Office, London",,"1. PRO, Admiralty 51/4330.",doc,/TaggedPDF-doc/div/doc[520]/src
NDAR_V02_0521,"Library of Congress, Washington",,"1. PRO, Colonial Office, 5/634, LC Photocopy.",doc,/TaggedPDF-doc/div/doc[521]/src
NDAR_V02_0522,"Library of Congress, Washington",,"1. John Hancock Papers, III, LC. Another copy enclosed in Schuyler to Congress, October 11, 1775; Papers CC (Leters of Major General Philip Schuyler), 153, II, 314, 315, NA.",doc,/TaggedPDF-doc/div/doc[522]/src
NDAR_V02_0523,"Connecticut State Library, Hartford",,"1. Trumbull Papers, vol. 4, 174a-l74d, ConnSL.",doc,/TaggedPDF-doc/div/doc[523]/src
NDAR_V02_0524,,,"1. Fac Simile of Washington's Accounts From June, 1775 to June, 1783 (Washington, 1833), 7.",doc,/TaggedPDF-doc/div/doc[524]/src
NDAR_V02_0525,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 33.",doc,/TaggedPDF-doc/div/doc[525]/src
NDAR_V02_0526,"Massachusetts Archives, Boston",,"1. Journal of the House of Representatives, Mass. Arch.",doc,/TaggedPDF-doc/div/doc[526]/src
NDAR_V02_0527,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 180, 183.",doc,/TaggedPDF-doc/div/doc[527]/src
NDAR_V02_0528,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 140-141, BM.",doc,/TaggedPDF-doc/div/doc[528]/src
NDAR_V02_0529,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 141-143, BM.",doc,/TaggedPDF-doc/div/doc[529]/src
NDAR_V02_0530,"Public Record Office, London",,"1. PRO, Admiralty 52/1637.",doc,/TaggedPDF-doc/div/doc[530]/src
NDAR_V02_0531,"William L. Clements Library, University of Michigan, Ann Arbor",,"1. Gage Papers, CL.",doc,/TaggedPDF-doc/div/doc[531]/src
NDAR_V02_0532,"John Carter Brown Library, Providence",,"1. Nicholas Brown Papers, JCBL.",doc,/TaggedPDF-doc/div/doc[532]/src
NDAR_V02_0533,,,"1. New York Provincial Congress, I, 167-168.",doc,/TaggedPDF-doc/div/doc[533]/src
NDAR_V02_0534,,"Worthington C. Ford, et al., eds., Journals of the Continental Congress (Washington, 1904-1937).","1. Ford, ed., JCC, III, 279-291.",doc,/TaggedPDF-doc/div/doc[534]/src
NDAR_V02_0535,"Harvard University Library, Cambridge",,"1. Robert Morris Papers, HUL.",doc,/TaggedPDF-doc/div/doc[535]/src
NDAR_V02_0536,,,"1. Pennsylvania Colonial Records, X, 355-357.",doc,/TaggedPDF-doc/div/doc[536]/src
NDAR_V02_0537,"Public Record Office, London",,"1. PRO, Admiralty 51/972.",doc,/TaggedPDF-doc/div/doc[537]/src
NDAR_V02_0538,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 96-97, BM.",doc,/TaggedPDF-doc/div/doc[538]/src
NDAR_V02_0539,,"Nathaniel Bouton, ed., Provincial Papers, Documents and Records Relating to the Province of New Hampshire From 1764 to 1776, (Nashua, 1873). ","1. Bouton, ed., Documents and Records of New Hampshire, VII, 618; similar letter sent to the New York Committee of Safety, October 5, 1775.",doc,/TaggedPDF-doc/div/doc[539]/src
NDAR_V02_0540,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[540]/src
NDAR_V02_0541,,,"1. André de Coppet Autograph Collection, PUL. Wentworth was chairman of the Portsmouth, New Hampshire, Committee.",doc,/TaggedPDF-doc/div/doc[541]/src
NDAR_V02_0542,"Massachusetts Archives, Boston",,"1. Journal of the House of Representatives, Mass. Arch.",doc,/TaggedPDF-doc/div/doc[542]/src
NDAR_V02_0543,"Public Record Office, London",,"1. PRO, Colonial Office, 5/92.",doc,/TaggedPDF-doc/div/doc[543]/src
NDAR_V02_0546,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 164, 148.",doc,/TaggedPDF-doc/div/doc[546]/src
NDAR_V02_0547,"Public Record Office, London",,"1. PRO, Admiralty 51/804.",doc,/TaggedPDF-doc/div/doc[547]/src
NDAR_V02_0549,,,"1. Dexter, ed., Diary of Ezra Stiles, I, 620-623.",doc,/TaggedPDF-doc/div/doc[549]/src
NDAR_V02_0550,"Public Record Office, London",,"1. PRO, Admiralty 51/398.",doc,/TaggedPDF-doc/div/doc[550]/src
NDAR_V02_0552,,,"1. Connecticut Gazette, New London, October 27, 1775.",doc,/TaggedPDF-doc/div/doc[552]/src
NDAR_V02_0553,,"Worthington C. Ford, et al., eds., Journals of the Continental Congress (Washington, 1904-1937).","1. Ford, ed., JCC, III, 281-283.",doc,/TaggedPDF-doc/div/doc[553]/src
NDAR_V02_0554,,"Warren-Adams Letters, Being Chiefly a Correspondence Among John Adams, Samuel Adams, and James Warren, 1743-1814 (Boston, 1917-25). ","1. Warren-Adams Letters, I, 126-129.",doc,/TaggedPDF-doc/div/doc[554]/src
NDAR_V02_0555,,,"1. Pennsylvania Colonial Records, X, 357-358.",doc,/TaggedPDF-doc/div/doc[555]/src
NDAR_V02_0556,,,"1. The Supplement, though dated October 6, was not printed until the following day, October 7. Several items appeared under latter date.",doc,/TaggedPDF-doc/div/doc[556]/src
NDAR_V02_0558,"Library of Congress, Washington",,"1. PRO, Colonial Office, 5/318, 673-675, LC Photocopy.",doc,/TaggedPDF-doc/div/doc[558]/src
NDAR_V02_0559,"Public Record Office, London",,"1. PRO, Admiralty 51/218.",doc,/TaggedPDF-doc/div/doc[559]/src
